job_title,level_job,job_type,annual_salary_usd,benefits,onsite_remote,category_job,company,location,skills,country,region
Senior Data Analyst,Mid,Full Time,98500.0,"401(k) matching,Career development,Equity,Health care,Insurance",remote,,, Remote,"Agile, AWS, Data analysis, Data quality, Data visualization, Engineering, Excel",,
Senior Data Engineer (P707),Senior,Full Time,147500.0,,onsite,,,,"Agile, Architecture, Azure, Big Data, Business Analytics, Cassandra, CI/CD",,
Principal Technical Consultant - Data Visualization,Senior,Full Time,98500.0,"Career development,Conferences,Flex hours,Flex vacation",onsite,,,United States,"Agile, Architecture, AWS, Azure, CI/CD, Consulting, Data visualization",United States,World
Senior Manager Data Engineering - Houston (in office 2-3 days per week),Senior,Full Time,190500.0,"Flex hours,Flex vacation,Parental leave",onsite,,, United States,"Agile, Architecture, AWS, Azure, BigQuery, Bigtable, Computer Science",United States,World
Data Analyst,Entry,Full Time,53000.0,"401(k) matching,Competitive pay,Flex vacation,Health care,Insurance",onsite,,, United States,"Data governance, Engineering, Finance, Oracle, Research",United States,World
Freelance Data Engineer,Mid,Full Time,96500.0,,remote,,, Remote,"A/B testing, Ansible, Athena, AWS, CI/CD, Dataflow, DataOps",,
Senior Data Engineer / Cambridge UK,Senior,Full Time,97500.0,"Career development,Startup environment",onsite,,, UK,"Biology, CI/CD, Computer Science, Data analysis, Data management, Data visualization, Engineering",,
"Senior Data Engineer, Multi-Modal Data Integration",Senior,Full Time,147500.0,"Career development,Startup environment",onsite,,, CA,"Biology, CI/CD, Computer Science, Data analysis, Deep Learning, Engineering, Genetics",,
STRATEGIC DATA ANALYST,Senior,Full Time,111000.0,,onsite,,, Philippines,"Banking, Computer Science, Data Analytics, Economics, Finance, Industrial, Mathematics",Philippines,World
"Engineering Team Lead, Data Modelling",Senior,Full Time,88500.0,"Career development,Home office stipend,Relocation support,Startup environment",onsite,,, Finland,"A/B testing, Data analysis, Data warehouse, Data Warehousing, Engineering, Kafka, Kubernetes",Finland,World
Sr Data Engineer,Senior,Full Time,147500.0,Flex hours,onsite,,, India,"APIs, Azure, Big Data, Business Intelligence, Consulting, Data quality, ELT",India,World
Data Scientist,Senior,Full Time,157000.0,Flex hours,onsite,,, France,"GitHub, Machine Learning, PhD, Python, PyTorch, Scala, Scikit-learn",France,World
Master Data Management Product Analyst,Senior,Full Time,78500.0,"Career development,Flex hours",onsite,,, India,"Data management, Data quality, Excel, Oracle, Research",India,World
Data Engineer (Melbourne & Sydney),Senior,Full Time,147500.0,"Career development,Startup environment",onsite,,, Australia,"Agile, Ansible, Architecture, Avro, AWS, Bitbucket, Classification",Australia,World
Lead Analytics Engineer,Mid,Full Time,65000.0,"Career development,Equity,Flex vacation,Team events",remote,,, Remote,"Agile, APIs, Business Intelligence, Data governance, Data pipelines, Data strategy, E-commerce",,
Data Quality Analyst,Entry,Full Time,56000.0,,onsite,,, France,"Consulting, Data management, Data quality, Power BI, Python, R, SQL",France,World
Data Engineer,Senior,Full Time,147500.0,"Competitive pay,Health care,Salary bonus",onsite,,, CA,"APIs, AWS, Big Data, Data Analytics, Data pipelines, DevOps, ELT",,
Artificial Intelligence (AI) Expert,Mid,Full Time,65000.0,Career development,remote,,, Remote,"APIs, Architecture, CI/CD, DevOps, Git, HuggingFace, Machine Learning",,
"Senior Perception Engineer, Safety-Critical Algorithms",Senior,Full Time,80000.0,,remote,,,,"Computer Science, Engineering, Git, Lidar, Linux, Matlab, PhD",,
BI Developer,Senior,Full Time,78500.0,"Career development,Health care,Home office stipend,Insurance,Snacks / Drinks",onsite,,,Tel Aviv,"E-commerce, Engineering, ETL, Finance, Industrial, KPIs, Looker",,
Senior Data Engineer - AdTech (All Genders),Entry,Full Time,98000.0,"Career development,Parental leave,Startup environment,Team events",onsite,,, France,"Airflow, APIs, Big Data, BigQuery, Dataflow, Data pipelines, Docker",France,World
Data Management & Data Analytics Specialist (m/w/d),Entry,Full Time,56000.0,,onsite,,, Germany,"Big Data, Business Analytics, Data Analytics, Data management, Engineering, KNIME, MS SQL",Germany,World
Machine Learning Engineer (StarX),Mid,Full Time,200000.0,"401(k) matching,Career development,Competitive pay,Flex vacation,Health care",onsite,,,,"Big Data, Data visualization, Engineering, Feature engineering, Finance, Genetics, Machine Learning",,
"Staff Software Engineer, Data & Connectivity",Senior,Full Time,170000.0,"Career development,Equity,Startup environment,Transparency,Unlimited paid time off",onsite,,, NV,"Agile, APIs, AWS, Computer Science, Data pipelines, DynamoDB, Economics",,
